Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
IR-O-U-0295,Datta Meghe Institute of Medical SciencesMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)65.2523.5459.6065.3830.78,65.25,23.54,59.6,65.38,30.78,Wardha,Maharashtra,48.18,54
TLR (100),RPC (100),,,,,,,,,
65.25,23.54,,,,,,,,,
IR-O-U-0498,Babasheb Bhimrao Ambedkar UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)53.5419.6882.4674.5921.36,53.54,19.68,82.46,74.59,21.36,Lucknow,Uttar Pradesh,48.05,55
TLR (100),RPC (100),,,,,,,,,
53.54,19.68,,,,,,,,,
IR-O-U-0195,University of JammuMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)64.9019.1274.8346.6331.92,64.9,19.12,74.83,46.63,31.92,Jammu,Jammu and Kashmir,48.03,56
TLR (100),RPC (100),,,,,,,,,
64.9,19.12,,,,,,,,,
IR-O-U-0448,Bharathidasan UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)57.7232.5661.8048.1037.17,57.72,32.56,61.8,48.1,37.17,Tiruchirappalli,Tamil Nadu,47.98,57
TLR (100),RPC (100),,,,,,,,,
57.72,32.56,,,,,,,,,
IR-O-U-0136,Gujarat UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)64.7518.3883.3057.392.65,64.75,18.38,83.3,57.39,2.65,Ahmedabad,Gujarat,47.61,58
TLR (100),RPC (100),,,,,,,,,
64.75,18.38,,,,,,,,,
IR-O-U-0056,Tezpur UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)59.7127.4963.2950.6735.88,59.71,27.49,63.29,50.67,35.88,Tezpur,Assam,47.48,59
TLR (100),RPC (100),,,,,,,,,
59.71,27.49,,,,,,,,,
IR-O-U-0331,Tata Institute of Social SciencesMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)56.6610.4578.3675.4238.23,56.66,10.45,78.36,75.42,38.23,Mumbai,Maharashtra,47.16,60
TLR (100),RPC (100),,,,,,,,,
56.66,10.45,,,,,,,,,
IR-O-U-0642,Shiv Nadar UniversityMore DetailsClose |  | TLR (100)RPC (100)GO (100)OI (100)PERCEPTION (100)63.5320.7564.7061.3822.06,63.53,20.75,64.7,61.38,22.06,Dadri,Uttar Pradesh,46.57,61
TLR (100),RPC (100),,,,,,,,,
63.53,20.75,,,,,,,,,
